VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-01 00:47:20,2020-01-01 01:21:21,1,2.70,1,N,48,113,1,20.5,3,0.5,7.25,0,0.3,31.55,2.5
1,2020-01-01 00:12:42,2020-01-01 00:32:40,1,7.10,1,N,162,147,2,22,3,0.5,0,0,0.3,25.8,2.5
1,2020-01-01 00:30:37,2020-01-01 00:32:38,1,.40,1,N,151,151,2,3.5,0.5,0.5,0,0,0.3,4.8,0
1,2020-01-01 00:39:09,2020-01-01 00:48:11,1,1.10,1,N,41,74,1,7.5,0.5,0.5,2.2,0,0.3,11,0
1,2020-01-01 00:58:34,2020-01-01 01:17:20,1,4.80,1,N,41,233,1,17.5,3,0.5,5.3,0,0.3,26.6,2.5
1,2020-01-01 00:35:13,2020-01-01 00:58:50,1,5.70,1,N,161,87,2,21.5,3,0.5,0,0,0.3,25.3,2.5
2,2020-01-01 00:33:46,2020-01-01 01:12:20,1,4.17,1,N,79,50,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5
2,2020-01-01 00:51:14,2020-01-01 01:26:42,1,1.92,1,N,142,68,1,21,0.5,0.5,7.44,0,0.3,32.24,2.5
2,2020-01-01 00:31:19,2020-01-01 00:39:26,4,1.01,1,N,170,161,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-01-01 00:47:13,2020-01-01 00:54:52,6,1.77,1,N,161,140,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020-01-01 00:58:35,2020-01-01 01:02:04,4,.73,1,N,140,140,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
1,2020-01-01 00:38:19,2020-01-01 00:45:58,3,1.30,1,N,237,141,1,7.5,3,0.5,3,0,0.3,14.3,2.5
1,2020-01-01 00:55:27,2020-01-01 01:09:35,2,.80,1,N,237,161,2,9.5,3,0.5,0,0,0.3,13.3,2.5
